reviewed,entry type,key,author,editor,translator,title,year,pages,abstract,doi,volume,issn,journal,number,keywords,publisher,isbn,url,booktitle,shorttitle,eprint,arxivid,archiveprefix,pmid,annote,edition,address,type,month,series,institution,howpublished,organization,school,qualityassured,urldate,date,tags,file
,article,Askenfelt1994, Anders Askenfelt,,,"Numerical simulations of piano strings. II. Comparisons with measurements and systematic exploration of some hammer-string parameters","1994","1631--1640","A physical model of the piano string, using finite difference methods, has recently been developed. [Chaigne and Askenfelt, J. Acoust. Soc. Am. 95, 1112–1118 (1994)]. The model is based on the fundamental equations of a damped, stiff string interacting with a nonlinear hammer, from which a numerical finite difference scheme is derived. In the present study, the performance of the model is evaluated by systematic comparisons between measured and simulated piano tones. After a verification of the accuracy of the method, the model is used as a tool for systematically exploring the influence of string stiffness, relative striking position, and hammer-string mass ratio on string waveforms and spectra. \textcopyright 1994, Acoustical Society of America. All rights reserved.","10.1121/1.408549","95","NA","Journal of the Acoustical Society of America","3", , , , , , , , , , , , , , , , , , , , , , , ,"","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/Articles/Acoustics/Piano/Numerical simulations of piano strings/1993_Chaigne_et_al_2 Numerical simulations of piano strings II--Comparisons with measurements and systematic exploration of some hammer-string para.pdf"
,book,2011UlrichDesign, Karl T Ulrich,,,"Design: Creation of Artifacts in Society","2012", ,"The central theme of this monograph is that a unifying framework informs the human activity of design across all domains. With few exceptions, each idea in this work applies to graphics, environments, products, software, services, machines, and buildings. I dream that the design process could be integral to the primary, secondary, and post-secondary education of all individuals in modern society. This work is an attempt to lay out some of the ideas that would form that education.","10.2139/ssrn.1951106", ,"1556-5068", , , ,"University of Pennsylvania","9780983648703","https://www.amazon.com/Design-Creation-Artifacts-Karl-Ulrich-ebook/dp/B005S4EO1Y?SubscriptionId=AKIAIOBINVZYXZQZ2U3A///////%5C%5C&tag=chimbori05-20///////%5C%5C&linkCode=xm2///////%5C%5C&camp=2025///////%5C%5C&creative=165953///////%5C%5C&creativeASIN=B00","SSRN Electronic Journal", , , , , , , , , , , , , , , , , , ,"",""
,article,RobelSignals, Axel Robel,,,"Signals", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"",""
,misc,2018Nsynthsuper,,,,"NSynthSuper","2018", , , , , , , , ,"<", ,"https://nsynthsuper.withgoogle.com/%7B////////%5C%5C%25%7D3E https://nsynthsuper.withgoogle.com/ https://nsynthsuper.withgoogle.com/%3E", , , , , , , , ,"GoogleGoogle Dispon�vel em", , , , ,"online", , , , , ,"#no author",""
,article,Grinstein,Eric Grinstein and Ngoc Q K Duong and Alexey Ozerov and  P Patrick,,,"No Title", , , , , , , , , , , , , , ,"1710.11385v1","1710.11385v1","arXiv", , , , , , , , , , , , , , ,"",""
,article,Oø,O O Oo Uoo and O OÐtextordmasculineO N and O O O O O U O O Oo and O O Ooun Oo No and Ð OOytextordmasculineI and Ð O Oooo U O OOo and O O N O O U O O O U Ð O O Eoo and O O and Aoooo U OOo and Ð O OAo and O Ð Oonuð OOo and OOoðy O Ooo and  I O O O U O O O U O O O O Oooo U Ou,,,"\`I\'o\^u \""o × \aa\o\""o ð \aa\'o ðð \`o \`o \`e \'y× ð \aa\'o ð× \'i× \`o \""i \'u \`u ×", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"#corrupted author",""
,article,Staudt, Pascal Staudt,,,"Development of a Digital Musical Instrument with Embedded Sound Synthesis","2016", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/Articles/DMI/2016StaudtDevelopment Development of a Digital Musical Instrument with Embedded Sound Synthesis.pdf"
,article,2006MakinBackpropagation, J G Makin,,,"Backpropagation","2006","1--8", , , , , , , , , ,"http://www.cs.cornell.edu/courses/cs5740/2016sp/resources/backprop.pdf", , , , , , , , , , , , , , , , , , , ,"","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/Articles/Artificial Intelligence/Neural Networks/backpropagation alternative/2006MakinBackpropagation Backpropagation.pdf"
,article,Zappi2017,Victor Zappi and Andrew Allen and  Sidney Fels,,,"Shader-based Physical Modelling for the Design of Massive Digital Musical Instruments","2017","145--150","Physical modelling is a sophisticated synthesis technique, often used in the design of Digital Musical Instruments (DMIs). Some of the most precise physical simulations of sound propagation are based on Finite-Difference Time-Domain (FDTD) methods, which are stable, highly parameterizable but characterized by an extremely heavy computational load. This drawback hinders the spread of FDTD from the domain of off-line simulations to the one of DMIs. With this paper, we present a novel approach to real-time physical modelling synthesis, which implements a 2D FDTD solver as a shader program running on the GPU directly within the graphics pipeline. The result is a system capable of running fully interactive, massively sized simulation domains, suitable for novel DMI design. With the help of diagrams and code snippets, we provide the implementation details of a first interactive application, a drum head simulator whose source code is available online. Finally, we evaluate the proposed system, showing how this new approach can work as a valuable alternative to classic GPGPU modelling.", , , ,"NIME 2017 Proceedings of the International Conference on New Interfaces for Musical Expression", , , , ,"http://www.nime.org/proceedings/2017/nime2017_paper0028.pdf", , , , , , , , , , , , , , , , , , , ,"","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/Articles/DMI/Shader-based Physical Modelling for the Design of Massive Digital Musical Instruments - Zappi et al..pdf"
,misc,18,,,,"Neon","2018", , , , , , , , ,"<", ,"https://ai.intel.com/neon/%3E https://ai.intel.com/neon/ https://ai.intel.com/neon/%7B////////%5C%5C%25%7D3E", , , , , , , , ,"Intel AI Dispon�vel em", , , , ,"online", , , , , ,"#no author",""
